SEASON,STATISTIC,PEARSON_CORRELATION,PEARSON_CORRELATION_ABS,SPEARMAN_CORRELATION,SPEARMAN_CORRELATION_ABS,PEARSON_CORRELATION_RANK,SPEARMAN_CORRELATION_RANK,AVERAGE_RANK
2018-2019,W,0.9999974753399745,0.9999974753399745,1.0,1.0,1,1,1.0
2018-2019,L,-0.9999974753399745,0.9999974753399745,-1.0,1.0,2,2,2.0
2018-2019,MOV,0.9796758318057567,0.9796758318057567,0.976154883365907,0.976154883365907,6,3,4.5
2018-2019,PW,0.9804678280457902,0.9804678280457902,0.9743104389939579,0.9743104389939579,3,7,5.0
2018-2019,SRS,0.9773196085504516,0.9773196085504516,0.976154883365907,0.976154883365907,7,4,5.5
2018-2019,NRTG,0.980011682258734,0.980011682258734,0.9754833645649504,0.9754833645649504,5,6,5.5
2018-2019,PL,-0.9804678280457902,0.9804678280457902,-0.9743104389939579,0.9743104389939579,4,8,6.0
2018-2019,ADJUSTED_MOV,0.9773133057581946,0.9773133057581946,0.976154883365907,0.976154883365907,8,5,6.5
2018-2019,ADJUSTED_NRTG,0.9768365545960641,0.9768365545960641,0.9733658981046815,0.9733658981046815,9,9,9.0
2018-2019,ORTG,0.8444932531289707,0.8444932531289707,0.8199255287450163,0.8199255287450163,10,11,10.5
2018-2019,PLAYOFF_TEAM,0.8303365671220055,0.8303365671220055,0.8661220745894264,0.8661220745894264,12,10,11.0
2018-2019,PER100_PTS,0.8410032913191641,0.8410032913191641,0.8180609327066128,0.8180609327066128,11,12,11.5
2018-2019,ADJUSTED_ORTG,0.8169294069814823,0.8169294069814823,0.8038571356799941,0.8038571356799941,13,13,13.0
2018-2019,OFFENSIVE_EFG%,0.7816716746829003,0.7816716746829003,0.7390435304935677,0.7390435304935677,14,15,14.5
2018-2019,DEFENSIVE_eFG%,-0.7766737062003295,0.7766737062003295,-0.7581438556869021,0.7581438556869021,15,14,14.5
2018-2019,TS%,0.7566700833561463,0.7566700833561463,0.7296456172355434,0.7296456172355434,18,16,17.0
2018-2019,OPP_PER100_PTS,-0.7598481383204518,0.7598481383204518,-0.7136015304245066,0.7136015304245066,17,17,17.0
2018-2019,DRTG,-0.7613215295192629,0.7613215295192629,-0.7122488498725692,0.7122488498725692,16,18,17.0
2018-2019,ADJUSTED_DRTG,-0.7394469427180596,0.7394469427180596,-0.6924459412369572,0.6924459412369572,19,19,19.0
2018-2019,OPP_FG%,-0.7128894673111632,0.7128894673111632,-0.6693811298737848,0.6693811298737848,20,20,20.0
2018-2019,OPP_PER100_FG%,-0.712889467311163,0.712889467311163,-0.6693811298737848,0.6693811298737848,21,21,21.0
