STATISTIC,RANK,W,L,W/L%,MOV,ORTG,DRTG,NRTG,ADJUSTED_MOV,ADJUSTED_ORTG,ADJUSTED_DRTG,ADJUSTED_NRTG,PLAYOFF_TEAM,AVERAGE_AGE,PW,PL,SOS,SRS,PACE,FT_RATE,3PA_RATE,TS%,OFFENSIVE_EFG%,OFFENSIVE_TOV%,OFFENSIVE_ORB%,OFFENSIVE_FT/FGA,DEFENSIVE_eFG%,DEFENSIVE_TOV%,DEFENSIVE_DRB%,DEFENSIVE_FT/FGA,TOTAL_ATTENDANCE,ATTENDANCE/G,G,MP,PER100_FG,PER100_FGA,PER100_FG%,PER100_3P,PER100_3PA,PER100_3P%,PER100_2P,PER100_2PA,PER100_2P%,PER100_FT,PER100_FTA,PER100_FT%,PER100_ORB,PER100_DRB,PER100_TRB,PER100_AST,PER100_STL,PER100_BLK,PER100_TOV,PER100_PF,PER100_PTS,OPP_PER100_FG,OPP_PER100_FGA,OPP_PER100_FG%,OPP_PER100_3P,OPP_PER100_3PA,OPP_PER100_3P%,OPP_PER100_2P,OPP_PER100_2PA,OPP_PER100_2P%,OPP_PER100_FT,OPP_PER100_FTA,OPP_PER100_FT%,OPP_PER100_ORB,OPP_PER100_DRB,OPP_PER100_TRB,OPP_PER100_AST,OPP_PER100_STL,OPP_PER100_BLK,OPP_PER100_TOV,OPP_PER100_PF,OPP_PER100_PTS,FG%,AVERAGE_DISTANCE,%FGA_2P,%FGA_0-3,%FGA_3-10,%FGA_10-16,FGA_16-3PT,%FGA_3P,FG%_2P,FG%_0-3,FG%_3-10,FG%_10-16,FG%_16-3PT,FG%_3P,%ASTD_2P,%FGA_DUNKS,DUNKS_MADE,%FGA_LAYUPS,LAYUPS_MADE,%ASTD_3P,%FGA3P_CORNER,FG%3_CORNER,HEAVE_ATTEMPTS,HEAVE_MAKES,OPP_FG%,OPP_AVERAGE_DISTANCE,OPP_%FGA_2P,OPP_%FGA_0-3,OPP_%FGA_3-10,OPP_%FGA_10-16,OPP_FGA_16-3PT,OPP_%FGA_3P,OPP_FG%_2P,OPP_FG%_0-3,OPP_FG%_3-10,OPP_FG%_10-16,OPP_FG%_16-3PT,OPP_FG%_3P,OPP_%ASTD_2P,OPP_%FGA_DUNKS,OPP_DUNKS_MADE,OPP_%FGA_LAYUPS,OPP_LAYUPS_MADE,OPP_%ASTD_3P,OPP_%FGA3P_CORNER,OPP_FG%3_CORNER
RANK,1.0,-0.9379475589430813,0.9379305016282349,-0.9509261744088555,-0.969747375801774,-0.712172961400832,0.6767835126071722,-0.9706937630308765,-0.9713990912715149,-0.6913680007059796,0.6701142364864311,-0.9723625670997619,-0.7987065129701274,-0.47421196523461,-0.962817336924823,0.9619177337863021,0.31291465672590196,-0.9714076907227208,0.037994469300584,-0.11994118298938915,-0.23381998220806893,-0.6307260060881472,-0.5979703546771804,0.259725726352877,-0.023392623140532472,-0.15349413980003812,0.5737894886071444,-0.061109701136832034,-0.2460456379481316,0.23294117330055306,-0.42064504736191355,-0.4628767799535106,0.00032169511999643026,0.007276314663296037,-0.5408358227157155,0.05721470596039409,-0.5877741267758426,-0.3068288436318658,-0.22595283223719823,-0.49123271581127553,-0.022215301756371212,0.2422076121219718,-0.5273340973410292,-0.1595407736796979,-0.12288033102799872,-0.12197316178413375,0.10034495397510064,-0.5205106171840855,-0.38536851014327544,-0.3974283769916428,-0.1895308645063811,-0.30860837648118794,0.2821808690752873,0.17838028052174582,-0.7048997267984447,0.4895158609174283,-0.12520763962505194,0.6559668047537822,0.16484574286989614,0.07797520645665708,0.4947039986183633,0.21947468847186177,-0.1263269518564452,0.5197901078784642,0.24237604258558973,0.2152688948226366,0.15724102050916572,0.06243246046978552,0.35732626594535155,0.4066673303785544,0.560174631855701,0.25985744698482227,0.4163479329797571,-0.0626335236799889,-0.1283305246184275,0.6669961249445802,-0.5877741267758426,-0.2322169417437818,0.233870743559145,0.08666619120589779,0.13323642902144628,0.04194163497513179,0.1257580574352823,-0.23381998220806893,-0.5273340973410292,-0.40277213183061,-0.28750767740733973,-0.3258355534173214,-0.33325021399629134,-0.49123271581127553,-0.0911385082767705,-0.1582808549737655,-0.1549754780510927,0.13633487744248562,-0.008129829747143838,0.004050493156637904,-0.24721028962025293,-0.2561692561524341,0.06613723309212526,-0.03282110643979136,0.6559668047537826,-0.07361054680329258,-0.09013785181607653,0.29960601461931224,-0.1707033881596556,-0.29999117611764103,-0.08004153798222292,0.09013785181607661,0.5195603147864316,0.3063393659202046,0.28253799413323916,0.25319460741691235,0.35334825184596874,0.494812102899606,0.35713531019967815,0.46484182808490976,0.4079711221735356,0.13556796099935906,0.21734972152118595,0.31690051550566506,0.19286045965270182,0.3151248103325822
W,-0.9379475589430813,1.0,-0.9492677290296792,0.9860478162387635,0.9562150783808301,0.737159790435748,-0.6283092738938388,0.9556970316357347,0.9529710866344754,0.7160766436468655,-0.6153509479393084,0.9525292724552088,0.7938596819544117,0.5186804443211818,0.9719034890076699,-0.9183804201600487,-0.3663647251467086,0.9529771011323113,-0.030682582300907126,0.12586742182894398,0.23010165110993208,0.6598953665935974,0.6203307500336634,-0.2824866795639236,-0.0008863806328787457,0.1671600534853702,-0.5360390573677322,0.05274325002826719,0.24776858305070323,-0.21176511833008765,0.4976007245839493,0.4797401579799861,0.1588775592095063,0.1545443289082715,0.5617105878381277,-0.07027352918530176,0.6181088548456102,0.30798881409661344,0.22177301775395358,0.5177471985968143,0.03265750975501508,-0.24261939182934678,0.545668958329294,0.17198259788708414,0.12712983313506124,0.14613546623910814,-0.12882020300326688,0.5030384337303999,0.34657626302921507,0.42894991796908594,0.1695502436378901,0.28968420805645356,-0.3094345303536471,-0.16004469114205896,0.7295111501409701,-0.4727227087041735,0.1151789574143504,-0.6293172464407191,-0.13099626352443153,-0.04562599524699711,-0.4771216692615541,-0.23777544845511805,0.09035924806785788,-0.4820612488064286,-0.22051359203283977,-0.19830487358416263,-0.12261136550388534,-0.0736767895362079,-0.35915645979948846,-0.4173620775278781,-0.5297296204779853,-0.295115201408224,-0.4536631704228347,0.05369971129058019,0.14661971008258215,-0.6205702387664686,0.6181088548456102,0.22150915820353098,-0.23015224324432473,-0.06409032191665948,-0.16878543427218232,-0.02591087942949922,-0.12282427487037975,0.23010165110993208,0.545668958329294,0.3733456853189226,0.3102550083946885,0.35358274530032807,0.38640153432278196,0.5177471985968143,0.11315360566308362,0.13870385225499157,0.16761076911051745,-0.099766300061915,0.07174480617217471,0.031333792023506446,0.25301306451291333,0.28644476249576833,-0.022560825992241677,0.02546480102009572,-0.6293172464407188,0.08737898729846458,0.05654379225785864,-0.25493991011289013,0.1058945614691284,0.27224132573878557,0.06109957483963637,-0.056543792257858765,-0.4819458128618554,-0.3253152276737468,-0.24547798484329458,-0.2417116101550642,-0.32119983959071596,-0.47715570035035604,-0.3408571463148421,-0.4674069617469011,-0.36144623665730763,-0.08175721847035022,-0.1332246822829779,-0.31400093177772626,-0.20643370331825658,-0.29549323678623823
L,0.9379305016282349,-0.9492677290296792,1.0,-0.9859928607325403,-0.9562352928479874,-0.6772369718963591,0.691542473580593,-0.9557234848769808,-0.9529459165085477,-0.6558309143906844,0.6791213374635393,-0.95251249825592,-0.794090359863177,-0.5177134618241709,-0.9200988497128232,0.9719029490359694,0.3667017459480448,-0.9529630637740888,0.08578087995684254,-0.09327541826326861,-0.19508431904223153,-0.5967509929952126,-0.5673750724450576,0.24623660564867564,-0.034949310890777865,-0.12957360002192284,0.5951384633157554,-0.08528332684412189,-0.20390087354289596,0.24883057828225025,-0.36463795489779344,-0.46744868729877287,0.15965740921990187,0.16309346195196509,-0.5428231425412189,0.03706856356226364,-0.575964741581632,-0.2702987666878004,-0.18915840874543674,-0.4767826111628389,-0.05788913467105594,0.1991293626633858,-0.49724927770467153,-0.13614472490475166,-0.09705268083992051,-0.12833949168960976,0.08413665084342793,-0.5041079148804659,-0.38360415455629804,-0.40847031351356067,-0.20511644858895486,-0.32898109241527956,0.26682071464999263,0.1968294141355818,-0.66876502161895,0.4903079248557197,-0.15062146962606832,0.6742469289509632,0.17850703061758627,0.08591677212897499,0.5297677349096075,0.20744257999881915,-0.1444004268452636,0.5339661959474041,0.25668321150301254,0.22861935348081755,0.15855772605398966,0.014624745247496337,0.358052416193109,0.3734554711065383,0.5528287137724719,0.24769123390065584,0.4079329113292761,-0.09278169860249677,-0.10779503301714104,0.6841164567001548,-0.575964741581632,-0.2138821206373243,0.19509499504585992,0.08933436977612465,0.11732552785874135,0.019881485076322272,0.09654771076604204,-0.19508431904223153,-0.49724927770467153,-0.3956348527918424,-0.2522542978585506,-0.31793789749134144,-0.3439806574596115,-0.4767826111628389,-0.11602405998756078,-0.14038321885766708,-0.10878105539660876,0.14319372487099608,0.044944968461820486,-0.020984841563557333,-0.26382438651451023,-0.24718140491610602,0.0845665989416767,-0.021022286143175268,0.6742469289509629,-0.07554917737415219,-0.10039744076071697,0.2894462352846563,-0.1697893835758973,-0.2816052702308893,-0.09232675188282123,0.10039744076071705,0.5338623378228426,0.30226941328822887,0.3122046787693786,0.28172311390553656,0.37933508118873016,0.5297639064255789,0.3375116554003042,0.4633224065498687,0.46070464048819715,0.14260458289701625,0.27589752053077915,0.3214511503898926,0.18670350082498974,0.3353766638966951
W/L%,-0.9509261744088555,0.9860478162387635,-0.9859928607325403,1.0,0.970100148602698,0.7172864387649281,-0.6701813328060027,0.9699151114465859,0.9669980740316355,0.6958386243253664,-0.6575026813600466,0.9668970158120693,0.8055591715260652,0.5250336147566241,0.957469537815807,-0.956542558521497,-0.369369700696979,0.9670102120627203,-0.058569576718243144,0.11171028069308155,0.2140863320682541,0.6371935517308007,0.602378127123854,-0.2666325545767796,0.019314718851269928,0.15057431530332835,-0.5731421784385102,0.071035626151562,0.23092839000064438,-0.2339893545698645,0.4367196370517549,0.48098171442725884,-0.00022195463781888076,-0.0036914031219427404,0.5612731302611714,-0.05452666738969847,0.6068203086112766,0.29188860617975715,0.2068475817015432,0.5064402260631996,0.048013008576626826,-0.22252955558329582,0.5285482229669335,0.1562312407438584,0.11422827767441872,0.13705706066246504,-0.10615593702070308,0.5117415320851968,0.3725582807278106,0.4228352580233361,0.19157753440497804,0.31307934135024906,-0.2906193288837921,-0.18157284460187786,0.7091443846171611,-0.4895706542446106,0.13372069405870518,-0.661538896075161,-0.15552858429756738,-0.06631969542576252,-0.5057845448145609,-0.22797958772749385,0.11827574767382806,-0.5164669096490885,-0.2428017722780606,-0.2174565419601409,-0.14192570716032646,-0.04675188331148608,-0.36565607024056945,-0.4043627560188479,-0.5509853493236062,-0.273600314487925,-0.43498002611124836,0.0747846166816406,0.12778485370959236,-0.6624784026925434,0.6068203086112766,0.21762565494124667,-0.2141248471743677,-0.07698019225485192,-0.1420355922167607,-0.021215884106294887,-0.11248323525343872,0.2140863320682541,0.5285482229669335,0.3894690820286507,0.2876339427216552,0.34138589422647514,0.3693592709221071,0.5064402260631996,0.11333882913204872,0.14293335969415769,0.140726518592496,-0.12288180564401904,0.013768507385233138,0.02998283625877645,0.2619763466024272,0.27025672011301327,-0.05343103216934014,0.023611247030101788,-0.6615388960751606,0.08492358278978038,0.0790857691531109,-0.278375992646532,0.13829797769071414,0.2820970654505402,0.0789744832075665,-0.07908576915311101,-0.5163561185612927,-0.31935959706777267,-0.2828050917726105,-0.2638836173404951,-0.3552722614848149,-0.5057992487454616,-0.3465131670680675,-0.47368590197059185,-0.4166049397560129,-0.11576939503650531,-0.208284063075535,-0.32436121870989576,-0.2000945147277432,-0.3177124485104334
MOV,-0.969747375801774,0.9562150783808301,-0.9562352928479874,0.970100148602698,1.0,0.7351815325437776,-0.6940803940366277,0.9989585192982555,0.9969519540294232,0.7128259519136955,-0.6814949894093989,0.9959990880640339,0.76934216281709,0.4865085071374247,0.9829888975189908,-0.9821093083818183,-0.3791102574363743,0.9969522500976302,-0.04218781508391413,0.11307912900577323,0.2280356270523227,0.6544567981916332,0.6198261011462612,-0.26605308381267073,0.021073677962343253,0.15264822819076956,-0.5854082025652843,0.08616087769226753,0.24717149230238308,-0.22397630007942423,0.4137988044959504,0.4566291120233387,-0.00044602092138833834,-0.005345052292214981,0.5717537850505604,-0.055960022142740005,0.6187438715306004,0.30686294990221613,0.2206305282718111,0.5210339821049301,0.04022237945533845,-0.2364348852091145,0.5455007803605106,0.15765147061846405,0.11481954099754861,0.14039606955864511,-0.10769862564857632,0.519752376686513,0.3788783275943449,0.43153782298161003,0.2009117478599516,0.3132018606951826,-0.2900333368344155,-0.17398606783978826,0.7273758268271313,-0.5136990587991628,0.1078575913908524,-0.6708499283991838,-0.16765425031839537,-0.0768351235679947,-0.5146319047132223,-0.23509121219116474,0.11830844637763921,-0.5282799862078916,-0.2362649381718451,-0.21144619072691775,-0.13745358227211218,-0.06538873346999004,-0.37388941061158615,-0.42558758543857095,-0.5678470451453468,-0.28070228391883434,-0.4426794070329124,0.08635450652764733,0.12280995866520161,-0.685113154678227,0.6187438715306004,0.23140203453400973,-0.22808696041217588,-0.07940906054121492,-0.1491151237620495,-0.035367689123625486,-0.11742446691038894,0.2280356270523227,0.5455007803605106,0.40979455498575923,0.29021015848288295,0.34545892453655086,0.3680677397506468,0.5210339821049301,0.11288850903544086,0.15357049792364638,0.1543207280210552,-0.12679483982996181,0.018273084054627544,0.021984536997907436,0.2627128460549797,0.28684248927502176,-0.062050044154677485,0.020908808143642314,-0.6708499283991838,0.07848791427844733,0.08763582841299983,-0.29806935786902095,0.16150830651747142,0.30802732543466355,0.07898398077409143,-0.08763582841299991,-0.5281049696460905,-0.310498530979065,-0.3030545937953958,-0.2693343083977979,-0.34848571798210665,-0.5146808913758609,-0.3506378014085984,-0.47304487591416244,-0.4173204429584732,-0.13051435330486857,-0.21878209701931858,-0.31686615092439147,-0.19545484157093151,-0.3278971172399605
ORTG,-0.712172961400832,0.737159790435748,-0.6772369718963591,0.7172864387649281,0.7351815325437776,1.0,-0.02440228601688311,0.7335601639746885,0.7433436281048575,0.9988797906875772,-0.011822999218024172,0.7417763180588626,0.5078836591213359,0.30809992220263266,0.7497443583576662,-0.6868825161364136,-0.15590656437325617,0.7432726407782688,0.2598333377029705,0.07463948940837173,0.4266798570381243,0.8703485348474834,0.8182196485201539,-0.44596241070866066,-0.05396866941247427,0.1616825466238266,0.0021282218376175604,-0.16946374285219787,0.2044746919975465,-0.20921844201837905,0.4211323177223844,0.38273083774578454,0.18783710311144933,0.17818712092931727,0.7418075363137457,0.019366458532162355,0.7373744355972848,0.5093007070664898,0.4260055455492601,0.5654264521945526,-0.05436643337072629,-0.4134245183182195,0.7599072625140577,0.18438307086344902,0.08654534761996073,0.3036310223686375,-0.1938127499276403,0.2642271480872786,0.08025193897250064,0.37776330885581483,0.01959558057797167,0.07211866727609172,-0.47092165266228037,-0.21799556964383981,0.9989957124326114,0.022861551199801617,0.2081911088964008,-0.11817209809575743,0.1907396519631544,0.22802931272557184,-0.15270872683754758,-0.15583397302075114,-0.14136751715044443,0.042180076315593104,-0.1999781267280112,-0.21809509061478374,0.13971289550944346,-0.1364604005595756,-0.35377741829690645,-0.4560324979493135,-0.18541268043804665,-0.3631192031532415,-0.450331654714236,-0.1711857009689818,0.024726946464802987,-0.012425572994501302,0.7373744355972848,0.3081260103305741,-0.42673389411349666,-0.02023229567707986,-0.13827671955806264,-0.1762697756769035,-0.3330336492160927,0.4266798570381243,0.7599072625140577,0.5085537926836191,0.36152467878274813,0.42467598847220345,0.4090281558577485,0.5654264521945526,-0.0871507289500223,0.2882381403924165,0.35341375098621924,0.04787367029379098,0.271550011487058,-0.12675342911966356,0.07395645642437994,0.30070256289719194,0.11026865734144707,0.0421169943343576,-0.11817209809575753,0.1875541808441846,-0.20946144214246834,-0.15652135349710175,0.13742891519437372,-0.028008493387743378,-0.2172489207628635,0.20946144214246853,0.04239720452244001,0.0678569634558125,-0.01520962383564591,-0.036335241471118024,-0.08715207319755812,-0.15292908848405462,-0.3222034856130293,-0.0924941523860983,0.05262252483731345,0.13464668428743246,0.24100465086665893,-0.332765842441962,-0.2674483181557446,-0.0801120313217767
DRTG,0.6767835126071722,-0.6283092738938388,0.691542473580593,-0.6701813328060027,-0.6940803940366277,-0.02440228601688311,1.0,-0.6973219576209337,-0.6809539306128087,0.007479208516208388,0.9948140081541538,-0.6842299711751108,-0.5960985895217767,-0.3902599990022407,-0.656107284299706,0.7211157374628907,0.3931747922712038,-0.6810349610180483,0.3386050863531369,-0.08577041684472836,0.11495402070066774,-0.04066873541380737,-0.044874733884006306,-0.075021181613956,-0.0866652938813427,-0.05265773380911721,0.8662664549554604,-0.30875081701125734,-0.14976203250769915,0.10763238575889016,-0.1730533302477534,-0.2775692809536545,0.19877657179679975,0.1960017425335309,-0.0561519570022373,0.09969494863573314,-0.12771247712446926,0.08653765668881207,0.1249625998935818,-0.17232134732526358,-0.1157519588949387,-0.08947092796556855,0.005550282379378881,-0.03672345640067755,-0.07629423095831397,0.11277781560053836,-0.04609903393343878,-0.4873443077679461,-0.474212564675987,-0.22809115178115696,-0.2756826415497642,-0.3826487619238233,-0.06616112404220205,0.025345832834446136,-0.01342320523060761,0.7839885990235917,0.06411674322779737,0.8648569251972714,0.4500769192348582,0.3565055832619463,0.5977251602938319,0.18242311344741716,-0.32481483176168313,0.8238258549673723,0.13576519872668183,0.08012918788057491,0.349793892766218,-0.04664511874753929,0.17152175274419224,0.14037989976992618,0.6489786444085338,0.03046714306288679,0.17519813107919224,-0.3105285289434349,-0.15532600668344845,0.9989115242893783,-0.12771247712446926,-0.016810337452745537,-0.11493345798687012,0.10427982549705121,0.06639084149982119,-0.14180568463143528,-0.177271868771268,0.11495402070066774,0.005550282379378881,-0.06552777649761028,-0.049777707270409324,-0.05841594499061423,-0.10276255456072679,-0.17232134732526358,-0.24668506666472062,0.08689931132312777,0.15505566588874362,0.24088213457586433,0.26235356505493596,-0.17177274717649932,-0.31482128018531974,-0.10331340089998677,0.2103610877143915,0.013684688922075774,0.8648569251972712,0.08375546593151986,-0.35237929593540585,0.27339447601942135,-0.09266177450657626,-0.48644120691313486,-0.3470199683846533,0.35237929593540573,0.8237988096617526,0.5322809300266705,0.4284957182285535,0.35787694718614144,0.4230945231777135,0.5975533009975293,0.18462242924938188,0.601378559687018,0.6722091487032055,0.33304998638637956,0.5768315996815966,0.12020472782961972,0.006864925831879092,0.39998846424336093
NRTG,-0.9706937630308765,0.9556970316357347,-0.9557234848769808,0.9699151114465859,0.9989585192982555,0.7335601639746885,-0.6973219576209337,1.0,0.9958837998014195,0.7110827492803423,-0.6847745436009205,0.9969871715912372,0.7694113956736389,0.4862344704837944,0.983582688690962,-0.9827088840441529,-0.37910704959375724,0.9958879274656771,-0.04390541399747688,0.11180884662899758,0.22772644439153586,0.6516888583470398,0.6171878115638225,-0.268709101913339,0.020214780094025185,0.15168926593128745,-0.5873902308862562,0.08839669352023517,0.24840299120026482,-0.22316491447499817,0.41954614934435935,0.463062556127272,-0.00046540074700405224,-0.005492423924649141,0.5700883220390871,-0.05391516819815079,0.6155794995249421,0.30629477205828615,0.22043585335413438,0.5226154178130157,0.03977425849295073,-0.23555410526806725,0.5410904516154474,0.1571224323249504,0.11389413329230232,0.14096492878804306,-0.10764831877079657,0.5207396155890897,0.3798849052307582,0.4259740535053593,0.2014532434027415,0.31184947260188867,-0.2926315687222956,-0.17352827470728796,0.7253782618976934,-0.5165777625543427,0.10567630668082324,-0.67266843143349,-0.16924369928990907,-0.07889490262623759,-0.5158465242728412,-0.2357163181793881,0.11948363589697084,-0.5298204158929992,-0.23566492328785404,-0.21083314176898238,-0.13761711824647307,-0.06611896146229156,-0.3702955794900999,-0.42243210070753084,-0.5741127767781816,-0.28105723123960724,-0.44191299114741667,0.08837266856068088,0.12329560961327814,-0.687995129976063,0.6155794995249421,0.2323043718193199,-0.22777916427652406,-0.08532692021520773,-0.14431074463554866,-0.029994265317072367,-0.11822812920467206,0.22772644439153586,0.5410904516154474,0.4091765472079921,0.2930137805962762,0.3442021061741511,0.3631828011050234,0.5226154178130157,0.10525590936570836,0.1476348535919714,0.14802660933156553,-0.12940527220863546,0.016358193163958562,0.026009114235828096,0.26704970162463637,0.2858990021242935,-0.06395830876420258,0.020910911360773665,-0.6726684314334901,0.07751926091602251,0.08940349994679171,-0.2980445927480009,0.16151198993674754,0.3105935665888867,0.08017530449799411,-0.08940349994679168,-0.5296465836736527,-0.3132078729014494,-0.302164771465448,-0.2693771776506134,-0.3501444051956689,-0.5158876689271386,-0.35649904741795474,-0.47516042555478394,-0.41926427520619786,-0.12988764952618045,-0.2193500113957133,-0.32027218616523345,-0.19641963545018043,-0.3294197351898596
ADJUSTED_MOV,-0.9713990912715149,0.9529710866344754,-0.9529459165085477,0.9669980740316355,0.9969519540294232,0.7433436281048575,-0.6809539306128087,0.9958837998014195,1.0,0.7224689456827619,-0.6755770845727659,0.9989819902076379,0.7581428647011388,0.4870586276643413,0.9798405184972768,-0.9789166986442108,-0.3057700686324909,0.999999415656162,-0.0340542768658718,0.1138800160982031,0.2278215389698938,0.661091979016346,0.6246607333060183,-0.2660238266939049,0.025569657913561,0.15613246590297117,-0.5760138660112109,0.07741412807256466,0.24249821013230768,-0.22508061964427897,0.4106257405340378,0.4535043537138826,-0.0003022348756609128,-0.0058056771122531785,0.5798631797851943,-0.05457937389264129,0.6257883404639601,0.3065570650861747,0.22052774870476544,0.5194289000949684,0.04526826780744699,-0.2358471878106603,0.5519147946966583,0.16198896658231005,0.11606503705285338,0.14923617207376477,-0.10539739129055718,0.5156498309236943,0.37725224644410676,0.4309814495098014,0.20055984208058514,0.3154191886799791,-0.2892473167854031,-0.17417692377238367,0.7361684937012116,-0.4992462281173409,0.1155896722955754,-0.6594177601113745,-0.1653016106406052,-0.07531786389188999,-0.5088377377475936,-0.22635406114096454,0.11994622559048514,-0.5187430739674194,-0.23619301926423628,-0.21226094825145608,-0.13216102874575783,-0.06093297187508839,-0.3806574261691359,-0.42928174389905,-0.5640797413526047,-0.2683980112951758,-0.43729398248187423,0.0784824845690804,0.12351979630520114,-0.671276969252077,0.6257883404639601,0.2272667382868656,-0.2278754750996373,-0.08171308220632523,-0.13584308979959125,-0.03877696516318662,-0.12157492353415465,0.2278215389698938,0.5519147946966583,0.4200560936422994,0.29418705593779043,0.3508103886384103,0.3666990481604518,0.5194289000949684,0.11063586341262316,0.1594156556334861,0.16055184662726074,-0.1301834694154494,0.020841743949892737,0.015785338668235283,0.25771192663922454,0.28639897720757457,-0.05225090513795228,0.01821425298007652,-0.6594177601113745,0.0752747427530643,0.0867197192185507,-0.3020330848169453,0.174317194586904,0.300395513257983,0.0755930339199616,-0.08671971921855076,-0.5185693792235132,-0.29419565207953047,-0.2974176135783876,-0.2668473981684681,-0.3529028674703956,-0.5088832174302661,-0.3549599718665372,-0.46026791228875674,-0.40439420309071916,-0.13859635185839764,-0.21378926956983535,-0.3214019638614351,-0.19548209431292463,-0.32494909874468886
ADJUSTED_ORTG,-0.6913680007059796,0.7160766436468655,-0.6558309143906844,0.6958386243253664,0.7128259519136955,0.9988797906875772,0.007479208516208388,0.7110827492803423,0.7224689456827619,1.0,0.019682525206105587,0.720755493673249,0.4871441138190956,0.29712271829617715,0.727652986331469,-0.6644763842190223,-0.13065686161894202,0.7223989744646392,0.2642052036645375,0.0738099408372377,0.42673305619985846,0.8670664778653381,0.8140647094484398,-0.4461849582488201,-0.05185291420636291,0.16228426714456642,0.027239198309625887,-0.1778621881048887,0.1916256629730896,-0.20480926195384136,0.4125569962332896,0.3728623091417187,0.1888593394569765,0.17902674847222255,0.7396363675446692,0.02359508681390612,0.7321566898519196,0.5087347802180345,0.42643221731437353,0.5597164401138078,-0.05511936623623979,-0.41241121637918093,0.7568189391302018,0.18606034552405942,0.08651106006633134,0.3081230361431721,-0.1904880131630734,0.244370098034368,0.06514123003066634,0.36770357306086743,0.01124817615449463,0.0622683257539154,-0.4700398798443522,-0.21454011493093308,0.9980420986811495,0.05004891468703444,0.2126764654137504,-0.08983679630163545,0.1993793134325116,0.23307328850692288,-0.13184833994504022,-0.14316735228051714,-0.144524374348377,0.06529379637898741,-0.19408525318629083,-0.21337463903768217,0.14649777670701725,-0.1293207478621415,-0.35150096961553307,-0.44860778706516113,-0.16409924072472948,-0.3596312304430339,-0.4422360606476125,-0.1785813809237778,0.021956331413633498,0.019342294681847668,0.7321566898519196,0.30531935730788495,-0.4267854272917065,-0.016686753086104143,-0.13597352315770683,-0.18080556973125558,-0.33473171098120225,0.42673305619985846,0.7568189391302018,0.504475863612878,0.35932308990834455,0.4228739566725206,0.4040174666970197,0.5597164401138078,-0.09654075044951813,0.29058610906440785,0.3562200929151543,0.05108123709250118,0.27394172196737093,-0.1330098759351869,0.06696236907204649,0.2952271494167941,0.11359292746310269,0.041314967121335484,-0.08983679630163545,0.1837145346902966,-0.21410456309073891,-0.14552626354044704,0.13567880214107314,-0.04206719805528102,-0.22325603622504217,0.21410456309073886,0.06551014001409543,0.08465978442868227,-0.003284965834290743,-0.026654512173643355,-0.0772540669822771,-0.13207214635453904,-0.3141879575087724,-0.07464453748834533,0.07054111711506869,0.14071614238483632,0.2548440845277303,-0.3281804574967304,-0.26118814819093783,-0.06448111837093817
