STATISTIC,RANK,W,L,W/L%,MOV,ORTG,DRTG,NRTG,ADJUSTED_MOV,ADJUSTED_ORTG,ADJUSTED_DRTG,ADJUSTED_NRTG,PLAYOFF_TEAM,AVERAGE_AGE,PW,PL,SOS,SRS,PACE,FT_RATE,3PA_RATE,TS%,OFFENSIVE_EFG%,OFFENSIVE_TOV%,OFFENSIVE_ORB%,OFFENSIVE_FT/FGA,DEFENSIVE_eFG%,DEFENSIVE_TOV%,DEFENSIVE_DRB%,DEFENSIVE_FT/FGA,TOTAL_ATTENDANCE,ATTENDANCE/G,G,MP,PER100_FG,PER100_FGA,PER100_FG%,PER100_3P,PER100_3PA,PER100_3P%,PER100_2P,PER100_2PA,PER100_2P%,PER100_FT,PER100_FTA,PER100_FT%,PER100_ORB,PER100_DRB,PER100_TRB,PER100_AST,PER100_STL,PER100_BLK,PER100_TOV,PER100_PF,PER100_PTS,OPP_PER100_FG,OPP_PER100_FGA,OPP_PER100_FG%,OPP_PER100_3P,OPP_PER100_3PA,OPP_PER100_3P%,OPP_PER100_2P,OPP_PER100_2PA,OPP_PER100_2P%,OPP_PER100_FT,OPP_PER100_FTA,OPP_PER100_FT%,OPP_PER100_ORB,OPP_PER100_DRB,OPP_PER100_TRB,OPP_PER100_AST,OPP_PER100_STL,OPP_PER100_BLK,OPP_PER100_TOV,OPP_PER100_PF,OPP_PER100_PTS,FG%,AVERAGE_DISTANCE,%FGA_2P,%FGA_0-3,%FGA_3-10,%FGA_10-16,FGA_16-3PT,%FGA_3P,FG%_2P,FG%_0-3,FG%_3-10,FG%_10-16,FG%_16-3PT,FG%_3P,%ASTD_2P,%FGA_DUNKS,DUNKS_MADE,%FGA_LAYUPS,LAYUPS_MADE,%ASTD_3P,%FGA3P_CORNER,FG%3_CORNER,HEAVE_ATTEMPTS,HEAVE_MAKES,OPP_FG%,OPP_AVERAGE_DISTANCE,OPP_%FGA_2P,OPP_%FGA_0-3,OPP_%FGA_3-10,OPP_%FGA_10-16,OPP_FGA_16-3PT,OPP_%FGA_3P,OPP_FG%_2P,OPP_FG%_0-3,OPP_FG%_3-10,OPP_FG%_10-16,OPP_FG%_16-3PT,OPP_FG%_3P,OPP_%ASTD_2P,OPP_%FGA_DUNKS,OPP_DUNKS_MADE,OPP_%FGA_LAYUPS,OPP_LAYUPS_MADE,OPP_%ASTD_3P,OPP_%FGA3P_CORNER,OPP_FG%3_CORNER
RANK,1.0,-0.9447274001486256,0.9456433054316077,-0.9592394356052941,-0.9844762815309993,-0.7140906982054598,0.6831599587303231,-0.9845682331442411,-0.9864194386333167,-0.6916074678187015,0.6785516483565917,-0.9867967067136753,-0.7987065129701295,-0.474401347987943,-0.9705087446860559,0.9681059669056054,0.28425258858613894,-0.9864167013335499,0.033002496368732835,-0.11646003593954882,-0.23094969114033953,-0.6203302052944835,-0.5832820779877769,0.26255996343224536,-0.00912389201645434,-0.15215611273716875,0.5751999822678362,-0.0563063957899503,-0.24983358470337627,0.23342765616247235,-0.431375531612737,-0.46341934932683826,0.0046610651534654424,0.12071399264255284,-0.5309295805074938,0.06232120890108172,-0.5776665268861993,-0.29921937076257443,-0.22024027864949522,-0.4768338117795403,-0.025424996627793458,0.2481630256736897,-0.5268225643988829,-0.15585832036316966,-0.12202979770321089,-0.1292556110362798,0.10886439754189015,-0.5186060300761984,-0.3950446271950347,-0.3766099442191699,-0.19231326193171744,-0.2937238884619607,0.28704532355916856,0.16445258673168664,-0.7062074850988098,0.49177103571462477,-0.1190876412324703,0.661569047279536,0.17088969497412526,0.07921328864351744,0.49499795302757055,0.2238902022440392,-0.11535609296731791,0.5362361972174913,0.24033124789896554,0.21492864229963346,0.16292760726250674,0.07189758049731472,0.35452611657787647,0.4105591273403668,0.547631452211166,0.24487958692568465,0.4217960900605738,-0.05781703674303929,-0.133454219597653,0.6736742464340627,-0.5776665268861993,-0.22361988561903867,0.2310277918504584,0.10824677407161579,0.14169036107409938,0.0682160568115208,0.1273415552574655,-0.23094969114033953,-0.5268225643988829,-0.4014572895202847,-0.2759847041052582,-0.32542046514795364,-0.3153472408835309,-0.4768338117795403,-0.09069910994458366,-0.13863277092491114,-0.1390456701365266,0.1327852268838512,-0.007754515642848476,-0.011462687614702085,-0.24317030299528933,-0.2621134864914047,0.07086356903801612,-0.06134304089693853,0.661569047279536,-0.07198097630284844,-0.09013381624610602,0.2952990034725027,-0.1880285552598229,-0.2921464876328036,-0.10010431312571608,0.09013381624610602,0.5358592291744255,0.3010441300498365,0.28544024120980643,0.26552414785567563,0.3386968992578826,0.49508420501394595,0.36187094776242384,0.46062102259686516,0.40172753717158366,0.12696976494114678,0.22915909081277305,0.3135488955299158,0.19595672680582601,0.3137434884420622
W,-0.9447274001486256,1.0,-0.9463626252815848,0.9835239936453177,0.9554143576344805,0.7254170886643654,-0.633297672056512,0.954122452532063,0.9512131261286197,0.7031359879152485,-0.6221674161327523,0.950345175184156,0.8229137556532237,0.5188133660507593,0.9725432295821751,-0.9161128940456676,-0.3381311715585686,0.9512092945185714,-0.030785462697075668,0.12627545653128774,0.22576960349102318,0.6382280615021027,0.5941674838437235,-0.2846508974451049,-0.020952677789357825,0.1698628737362965,-0.5415548861161965,0.04501012861190853,0.25329788900664735,-0.21840099315351794,0.5008300394576988,0.47670369955327413,0.14948352959078692,-0.018463106084402235,0.5381788619987478,-0.07926147586746925,0.5950075602968665,0.2951096899379133,0.2142745219621954,0.47705668789850997,0.034072213160780164,-0.24463996295595228,0.5405620800209036,0.1716282615893087,0.12856200006862917,0.14700726297467756,-0.13790264695467797,0.5040191261718688,0.35379222968584295,0.3918554400489466,0.1649894493110857,0.2767829629562641,-0.3156772482345445,-0.15335955391650885,0.7175994178364198,-0.46585247628119797,0.12084584367280017,-0.632713359639576,-0.14347653150641132,-0.057152426787322935,-0.47276099545837885,-0.23354764148222945,0.09121957751060279,-0.5016206728090695,-0.22399757347319904,-0.202847005236539,-0.13987201173536523,-0.08014613748399507,-0.34897440488276393,-0.4078693615434388,-0.51900405798669,-0.2818554732208068,-0.4513567950343512,0.04650360011867041,0.15340684746345798,-0.6265201628032316,0.5950075602968665,0.21376937638684873,-0.22583033111221715,-0.08029653554633685,-0.17290967456346815,-0.04180806943572381,-0.12602745689542824,0.22576960349102318,0.5405620800209036,0.36774631475288044,0.28744655641079625,0.34381646276202216,0.35702394502004026,0.47705668789850997,0.09722773473273559,0.1254912038062426,0.15176665540281475,-0.10053081486453183,0.06119443964599355,0.04431776598736872,0.24150229893435432,0.28470244724898247,-0.03742295322516228,0.05961346571758544,-0.632713359639576,0.081482950972756,0.06778385260139085,-0.2537904046561317,0.12721825986048071,0.2653436596320531,0.0889203407083159,-0.06778385260139085,-0.501331657105465,-0.3253558747490233,-0.2505946098970716,-0.24098683863269207,-0.30258359750591324,-0.4727865246183909,-0.355331225419423,-0.45862760023115445,-0.35523571829494804,-0.07805864778805813,-0.16070188629444568,-0.30749698955066523,-0.2151584365628618,-0.2930406401873995
L,0.9456433054316077,-0.9463626252815848,1.0,-0.9863118852683559,-0.9604639496288098,-0.6669205532088162,0.695277567449224,-0.9599502961648589,-0.9578120977296908,-0.6440752213379364,0.686171898110747,-0.957692395461394,-0.8220652133093322,-0.5197010688918342,-0.9213513925503855,0.9726648052727219,0.33088756449674883,-0.9578932352949182,0.08971075587669816,-0.0930573939313757,-0.19307507929163206,-0.573754362630353,-0.5442134303631251,0.24171358117867087,-0.01767340462235612,-0.12822002767272614,0.6017602186383035,-0.07992865769660458,-0.20698363150776256,0.25367065035065334,-0.3875266964368848,-0.466573182517929,0.16101325827365537,0.16176895965309177,-0.5251207113257411,0.05041732437487762,-0.5560747094376616,-0.25864170076855597,-0.18375629886277725,-0.44079884790427837,-0.0625743803722634,0.20369425693365842,-0.49411711833654365,-0.13075920338991615,-0.09754978893944329,-0.13318259197242802,0.09270015721381697,-0.5020642499369798,-0.3856290392738412,-0.37451972286874036,-0.20599581466311812,-0.3154707611652966,0.2662802098750081,0.1911980746195721,-0.6584915788970571,0.48582094062673464,-0.15176488076268477,0.6773314857670516,0.18913098445380483,0.08936383378294437,0.5165102808416838,0.20607312310237338,-0.14427416420300582,0.5570247013517167,0.25896486815150077,0.23326223091297257,0.1727014656291052,0.01745654894786317,0.3487794873543347,0.36963087737342776,0.5456211560097743,0.224122520991258,0.4130706536499106,-0.08765116458924078,-0.11421001640055535,0.6886583526741687,-0.5560747094376616,-0.20641495630833653,0.19308287713295066,0.1099675423853229,0.12369366736936753,0.031753127073598064,0.10356724471966383,-0.19307507929163206,-0.49411711833654365,-0.39781869645484286,-0.2363640502607388,-0.31448610649744224,-0.32014047000822277,-0.44079884790427837,-0.09900908107525912,-0.1250022896105858,-0.09370747935837626,0.14804627142820415,0.048952695057607486,-0.03141306112031663,-0.2618282851251167,-0.24034819552388065,0.10440650969324397,-0.06329108802634287,0.6773314857670516,-0.07230169889649783,-0.10594250710155391,0.292846564092816,-0.18980643628989802,-0.27991969319988935,-0.11293965632259474,0.10594250710155391,0.556758245384399,0.29787921553294716,0.31809416732367846,0.28144544686302825,0.35644830587232434,0.5164897983147798,0.35415172238579506,0.451043372418273,0.4515332465047,0.1457268363837624,0.28883497948047676,0.31957495938442754,0.19647265599822653,0.31733240593463713
W/L%,-0.9592394356052941,0.9835239936453177,-0.9863118852683559,1.0,0.9720508848558916,0.7049132730130154,-0.6742188438042968,0.9712775164475546,0.968743694623407,0.6822879158357114,-0.6642903346411435,0.9683125302437013,0.8330670933229558,0.5276280098006616,0.957135524418729,-0.9569486559313432,-0.3356769374980133,0.9687786935163702,-0.062153610529446505,0.113226719160587,0.2099953198725557,0.6138674095988603,0.5771356010001604,-0.26499104480255087,-1.4820388068784876e-06,0.1522428591038749,-0.5801880191324803,0.06263342826284937,0.23455593859208868,-0.241032104996011,0.44533679160227196,0.47861106971699063,-0.011414044397556063,-0.0934889992214435,0.538538831710626,-0.0674265511652237,0.5847908131796545,0.27867550757216286,0.19939386656276306,0.46649712725616327,0.051700909138765294,-0.22592630004830083,0.5246909287433023,0.15419192554642122,0.1164680682670302,0.14068414034877894,-0.11642409454881084,0.5125617121751969,0.3758467843697525,0.3871510365247646,0.1880038395059824,0.3008921788502986,-0.29255215471220447,-0.17617301148741155,0.6966421504278026,-0.4836533509292759,0.1381749063335322,-0.6653852400643863,-0.16811460571347894,-0.07446534095935921,-0.49866648450489187,-0.22435086664971463,0.11950658775957868,-0.5392168632762637,-0.24666444279460842,-0.22278490087289315,-0.1589477395852797,-0.04967979862883192,-0.35693765303054875,-0.39676201282427437,-0.5427540388964496,-0.2545013274421905,-0.4357556864066635,0.06698479883093358,0.13484060396179592,-0.6674246449268008,0.5847908131796545,0.2099505969911423,-0.21004158441194648,-0.09614783127922982,-0.1486330930493825,-0.034560987060706636,-0.11624419181521134,0.2099953198725557,0.5246909287433023,0.38782746930495776,0.2669491298989012,0.33540387110364756,0.3412144105380904,0.46649712725616327,0.09787950031749854,0.13062881418380823,0.12636557536040596,-0.12698284279925692,0.0035958089650932785,0.039010348215427336,0.25313709971050424,0.26530525582509706,-0.07290177628889015,0.06293936973327371,-0.6653852400643863,0.07991489844209555,0.0883496855736239,-0.27711773915197063,0.15926080369482776,0.2774012701374879,0.1035981479231894,-0.0883496855736239,-0.5389314304797627,-0.3177177884780731,-0.28972724617311696,-0.2650081559189104,-0.33623397346450684,-0.4986662506106378,-0.3628838426898153,-0.46129690472566826,-0.40910803348458386,-0.11424371310937183,-0.22861424094631758,-0.3207056369374136,-0.20880217888588576,-0.30776092363698626
MOV,-0.9844762815309993,0.9554143576344805,-0.9604639496288098,0.9720508848558916,1.0,0.7204475123810656,-0.698044116314304,0.9993849158374981,0.9965636528512601,0.696581945350419,-0.6875224199951915,0.9962293952310235,0.8077823452355476,0.48992266189543643,0.9831065291785285,-0.98508835991434,-0.34772535173331537,0.9965565408752917,-0.04104422804823949,0.1087831493456113,0.23076374789797852,0.6275597808842529,0.5918192082369573,-0.27179832980056323,-0.0015059503676137156,0.14753084865871585,-0.5842495971358717,0.07382458260886553,0.25409938977213514,-0.2458165114601958,0.42496416162275014,0.46110565313612695,-0.017838652784046043,-0.11378251983225501,0.5420756120208058,-0.06068931697782865,0.5859387141972939,0.30004224696781845,0.2205341607449685,0.4786809958093502,0.03263747438191239,-0.24689026591888827,0.5356249475714591,0.1503699220709431,0.11334339030986747,0.1367618410662036,-0.11915958638559028,0.5242752603434724,0.3852386516807176,0.38937509618525884,0.19861334213233528,0.29703374755685547,-0.2992326008322995,-0.1783886256883897,0.7119504128113503,-0.5012831859486107,0.12186356832508856,-0.6722843258557819,-0.1750725955132019,-0.08156988325944507,-0.5049966485059789,-0.2333423005548309,0.11320436859000375,-0.5431682280443519,-0.25395270223784744,-0.22962919387017092,-0.15595016927442482,-0.07464165101536566,-0.3544746690115957,-0.41156525183153225,-0.5596509325260774,-0.26192037035731375,-0.44020968909550096,0.07434836086249232,0.12790413272845885,-0.6898506218541391,0.5859387141972939,0.22688923210758632,-0.2308314678175654,-0.10534423620945398,-0.1517810308568804,-0.05291790772883979,-0.12745175640737264,0.23076374789797852,0.5356249475714591,0.40780585527747093,0.2681638328002868,0.3357978399165424,0.33079178589382896,0.4786809958093502,0.09696876320732738,0.13883732242984936,0.13807819158173398,-0.1303001603170046,0.005681045816355463,0.021304084054282087,0.2535693016506447,0.2682725876296669,-0.08189264732194569,0.061940122986159286,-0.6722843258557819,0.07627782829508363,0.09191991559422354,-0.2923189836022074,0.182920186360241,0.29774856786309384,0.096617217670565,-0.09191991559422354,-0.5428290779230655,-0.30779728424584174,-0.30786887918652217,-0.26877229482622805,-0.3359221381272128,-0.5050374977285044,-0.3716640926604566,-0.4611068840520559,-0.408030793942125,-0.12028999173739796,-0.22940627460030205,-0.31701523617600164,-0.20627804948499112,-0.31484752911036823
ORTG,-0.7140906982054598,0.7254170886643654,-0.6669205532088162,0.7049132730130154,0.7204475123810656,1.0,-0.051547621073903656,0.7204661827578472,0.7291825680648772,0.9986175966939246,-0.04240570364827776,0.729537597003516,0.5139873353687168,0.29710039150173406,0.7401241608576011,-0.6797428596604485,-0.1327900998312864,0.7291224885622763,0.2365233610477816,0.07120866963906132,0.4083940625213203,0.8556844976216931,0.7965654428575832,-0.4645016459407535,-0.07332336282976105,0.15674569703039548,-0.017254511309279696,-0.14660296027976175,0.20768876856968913,-0.20543990605794965,0.42823842894282627,0.39396546154106404,0.1904205921391313,-0.05084740167283318,0.7180338333421145,0.034359522782359236,0.717352599138938,0.4901320690196606,0.40496515515288706,0.5370100715678763,-0.039398046360160116,-0.40087084908899295,0.7393520028173535,0.1786575839574733,0.08678382707303166,0.30121864084146605,-0.2012836169536406,0.26791793689817994,0.09037019172610054,0.3352132872010656,0.045832823701880396,0.06562433298914218,-0.4925336193984407,-0.21279328174315978,0.9987264003831621,0.012567779214915354,0.19989869066711757,-0.13655751127777085,0.1450013701161651,0.1754092019804718,-0.15387183342585184,-0.14881786184332152,-0.11109874661076113,0.006502576007922955,-0.19472452210758093,-0.2148931139443382,0.13595020500560712,-0.14524103080340656,-0.32572005406922594,-0.4351629028470074,-0.1726191216245138,-0.3661783055431742,-0.44586285601828995,-0.14851918412561121,0.029568384877189994,-0.04067967977796942,0.717352599138938,0.29478351782875106,-0.4084789916219238,-0.03789512776645414,-0.13090919730193304,-0.2061382664976714,-0.31506540799025723,0.4083940625213203,0.7393520028173535,0.4951253241081693,0.3304372068673849,0.3934494726813483,0.36807699574973185,0.5370100715678763,-0.11090919950828075,0.2682135417307534,0.3313431962391199,0.04880945749653597,0.25727731201222037,-0.09883070967233701,0.05960021446071599,0.29853628941851496,0.09103939775777624,0.07050051207367107,-0.13655751127777085,0.15340668968730975,-0.15923128316504434,-0.13706147933822777,0.1457517468189942,-0.019304156478841154,-0.16095456139866676,0.15923128316504434,0.006912425095643782,0.05100650576484488,-0.022402941457189365,-0.05077900786894992,-0.06370220151939827,-0.1540878279109543,-0.3188220640256283,-0.08954505427505066,0.04034895056946258,0.12151036309817427,0.19681094113528422,-0.30991462997643354,-0.24415622282972965,-0.07812070927819983
DRTG,0.6831599587303231,-0.633297672056512,0.695277567449224,-0.6742188438042968,-0.698044116314304,-0.051547621073903656,1.0,-0.6996889317850564,-0.6856108010232947,-0.01920303289959701,0.9944749002088342,-0.6870203036838601,-0.6079930714001959,-0.3961935528006278,-0.6597083277452789,0.7212131016799616,0.3690671332561044,-0.6856999805630876,0.31666926019164415,-0.09832874332700932,0.08288359231885327,-0.05265963406629094,-0.05336111848314756,-0.06610276396986484,-0.08014482760592564,-0.06462142586059867,0.8559286841340279,-0.28862493840565456,-0.1468485640847764,0.1163649238681733,-0.17886890278146234,-0.26075159979176643,0.20336536969016006,0.07613873812694365,-0.06766685092786315,0.1225151071877259,-0.13327173002082218,0.06558477652944544,0.09373420197928456,-0.14725854086404377,-0.09720353772254495,-0.052929628419447955,-0.030096014614334827,-0.04859177429440945,-0.0909455475843297,0.10400310425315869,-0.03674867180226475,-0.4782877179363004,-0.4727702261063668,-0.2218582210575053,-0.26661728973742294,-0.3662784420938824,-0.056847048446919436,0.013643470540105606,-0.04016709628052689,0.7758689468419268,0.06517604781063673,0.8560953055828278,0.41040501782364613,0.30308218175397794,0.5746742617060744,0.19132312522450315,-0.2755432338971223,0.8191920253906592,0.1418237078739566,0.0866191016363346,0.3620378474999844,-0.04994200334549951,0.18652883388813146,0.15239267176649265,0.6347958466686706,0.03127009782482578,0.2009747072057718,-0.2906719388195401,-0.1720988559463937,0.998652618178844,-0.13327173002082218,-0.033728081073464575,-0.0828639482382902,0.11918163363633749,0.08415144094372444,-0.13021936155068883,-0.15169410114472234,0.08288359231885327,-0.030096014614334827,-0.09000519554198243,-0.058865943902506115,-0.07653018162596655,-0.10661621749293317,-0.14725854086404377,-0.24322441923678442,0.09125437392690132,0.14900244550064795,0.25154572527414515,0.2614898696620926,-0.16706410264735766,-0.3310275352269953,-0.09121884699855638,0.2057618733140787,-0.006959337442895163,0.8560953055828278,0.05389773976966012,-0.29761943661578266,0.2817915372236081,-0.1098998359082371,-0.45410453817706464,-0.3108487232589247,0.29761943661578266,0.8191873509857623,0.5143323516066768,0.4275550313643902,0.35185485827004054,0.3970312236455142,0.5744451068819599,0.19025292810399808,0.5929616905554749,0.6624473029941077,0.3251636242291186,0.5581684332282516,0.12196066368304043,0.025413549307798364,0.35852911677816734
NRTG,-0.9845682331442411,0.954122452532063,-0.9599502961648589,0.9712775164475546,0.9993849158374981,0.7204661827578472,-0.6996889317850564,1.0,0.9960269269927984,0.6964973287793174,-0.6891944714126521,0.9967359712013284,0.8059642154886343,0.4903983182574926,0.9828404103593561,-0.9855337379163605,-0.3474655137324162,0.9960249178281818,-0.04358861776490503,0.10488932356938734,0.23199520570395732,0.6265325968288394,0.5911856572597722,-0.27508120841793204,-0.0026660224905303695,0.14462648833021424,-0.5853652764371137,0.07464867970625279,0.2549919904744434,-0.24506892068833558,0.427946677010077,0.46499015490488305,-0.01895549152702323,-0.11561839506836094,0.5431461969319539,-0.056331629424137435,0.5828509772454175,0.3017924231098253,0.22221603645018634,0.47884649775509835,0.032497341225439014,-0.24684805330049348,0.534029084897749,0.14792233117537834,0.1097605049139533,0.14001402912424307,-0.1192526333103774,0.5252202786481974,0.3862955073299306,0.3884216575614452,0.1979589634812371,0.29617665516733066,-0.3023504015058676,-0.17786723442117644,0.7116455481041721,-0.5024533662681256,0.12070959754875801,-0.6727482874178077,-0.1773485224694318,-0.08377152944147151,-0.5042435950978134,-0.23361405976648447,0.11461650992608073,-0.544605231891498,-0.2534876390668921,-0.22918860437077904,-0.15627524742101007,-0.07490501934283275,-0.35105027233615205,-0.40675983616482747,-0.563772404852807,-0.26308942714330735,-0.4398160843490103,0.07519072460778885,0.12643832473564964,-0.6912236508361341,0.5828509772454175,0.23035114833383966,-0.2320639463307262,-0.11031079362622762,-0.1491036690562068,-0.050580935131231304,-0.12764127206399742,0.23199520570395732,0.534029084897749,0.4073058449810179,0.26913316564954043,0.3366639701022362,0.3297131057650345,0.47884649775509835,0.09347514381121311,0.13342394116157852,0.13268505119631574,-0.13359294545030626,0.0030876185722199085,0.02278805464573566,0.2544555525374691,0.2671997342037484,-0.0822490345443918,0.06258212815319028,-0.6727482874178077,0.0756496172935294,0.09402576782790978,-0.2925756541814735,0.18398204341520652,0.29818179275845463,0.09713310526161315,-0.09402576782790978,-0.54427362392365,-0.3089597162261668,-0.3073520819694672,-0.26834468245366866,-0.3366231531685551,-0.5042731465547449,-0.3759673982290477,-0.46284326826758143,-0.41125358345583857,-0.1208473628863585,-0.23194134928970794,-0.32006824216156565,-0.2068971313398035,-0.3148497308470129
ADJUSTED_MOV,-0.9864194386333167,0.9512131261286197,-0.9578120977296908,0.968743694623407,0.9965636528512601,0.7291825680648772,-0.6856108010232947,0.9960269269927984,1.0,0.7068778962056436,-0.6819007745002473,0.999350808894646,0.7949231407472974,0.4860829515769159,0.9789291935652402,-0.9827462509931043,-0.27494219181074425,0.999996905320173,-0.03372873117226018,0.10823489324005155,0.23220963542470088,0.6337494028134931,0.5972301519239841,-0.27149903085411,0.0066670172293107266,0.14804546890450318,-0.5751861876185612,0.06623116201791887,0.2507000820253604,-0.24697549432295163,0.4215830942094787,0.46001884414711985,-0.01968488463171121,-0.1216362165301431,0.5510163927534502,-0.05609249157080678,0.5937409097755141,0.30139081115738675,0.22232695520424417,0.4736982552322193,0.0376497144153386,-0.24711658115566076,0.5437096839249818,0.1523183778688111,0.11386882362467309,0.14208790999333368,-0.11311535639470613,0.5206327203842688,0.38610976958266474,0.38981371894672634,0.19811037917089822,0.2991454614252556,-0.29779620767565,-0.17809857507891488,0.7213533419463237,-0.4870970961424704,0.1268850382287343,-0.6611633000048402,-0.17178023231770698,-0.07870080179364365,-0.49926466012950993,-0.22540280578408137,0.11392870792550541,-0.5334503502193508,-0.2541495990455766,-0.23046619090597964,-0.1508542157847452,-0.07190371337524676,-0.36357984884315636,-0.4183052197010732,-0.5555053409065294,-0.25172861853474093,-0.4325553995604146,0.06727748969220954,0.1289144079373573,-0.6767498071241633,0.5937409097755141,0.2207655353536701,-0.23228301822912198,-0.10403741112441431,-0.14160928822951052,-0.05958105965141335,-0.13394046498668158,0.23220963542470088,0.5437096839249818,0.41821242255496405,0.26809869648855644,0.3405655689123967,0.32922010130412094,0.4736982552322193,0.09507317135053399,0.14408687057351013,0.14300318260241907,-0.12938918542407155,0.010552524379743296,0.016209463185851886,0.2475399205094352,0.2644316113643342,-0.07178654875169911,0.05958972352281393,-0.6611633000048402,0.07257271460805965,0.08987162904521175,-0.29375068341741045,0.19349462014048413,0.2898459162221707,0.0924819392412117,-0.08987162904521175,-0.5331055263269114,-0.29058735111692346,-0.30423718352585777,-0.2636419374113727,-0.34305144701814855,-0.4993046387301795,-0.3761411179212424,-0.4480276158204121,-0.39746274186150177,-0.12624587063150236,-0.22529558710731268,-0.3210850861828437,-0.20597046365903032,-0.3121618550316418
ADJUSTED_ORTG,-0.6916074678187015,0.7031359879152485,-0.6440752213379364,0.6822879158357114,0.696581945350419,0.9986175966939246,-0.01920303289959701,0.6964973287793174,0.7068778962056436,1.0,-0.010581359279892674,0.7070776366888892,0.49176788479773986,0.284294328324153,0.7165280257704215,-0.6556280101376817,-0.10750931605793075,0.7068224864687868,0.2411349627086177,0.07077583584638202,0.4072782373562918,0.8523142099873531,0.7924104115990732,-0.46419956798322265,-0.06941322226751953,0.15743631595174398,0.008044496096830445,-0.15375447412121876,0.19441092352253722,-0.1994706439829171,0.42107490786284996,0.38597556357430657,0.1934394409095391,-0.05117145184893507,0.7166301239342902,0.039793893346619126,0.712922800897959,0.48870295744916675,0.40430451117178706,0.5320982632635264,-0.03835766326879239,-0.39847176797629147,0.7357646290726211,0.18043110529204992,0.08703954909312663,0.3061823586107926,-0.19614341649633227,0.24715128408283055,0.07499504502044352,0.3255471416919114,0.039546554665440256,0.05515479318650027,-0.4906477531912037,-0.20860261896995644,0.9978182874617655,0.039508308545619125,0.20199854375117945,-0.10793830667652643,0.15572772569699123,0.18234405060599335,-0.13275656934100843,-0.1364583726162559,-0.11510399988477264,0.030294120381198265,-0.18755958793357935,-0.20880571094953101,0.14427334586241272,-0.13818665274109734,-0.324074184732576,-0.4278934809715745,-0.15022488900837042,-0.3621740784318978,-0.4365201607953547,-0.15492697861491878,0.026907696559071298,-0.00829824426190067,0.712922800897959,0.28949657621203806,-0.4073623762204943,-0.03203324813416514,-0.1282633812199569,-0.21128066193180642,-0.3171881628249073,0.4072782373562918,0.7357646290726211,0.49068354178123974,0.3284018620264093,0.3903220868126323,0.36247924638362444,0.5320982632635264,-0.1199286419239019,0.2727708366314803,0.3362204263455682,0.0533844907537158,0.2606053574665249,-0.10429871604167933,0.0521343234364701,0.2927412028365068,0.09553298105741014,0.07057960435945533,-0.10793830667652643,0.14963941516617912,-0.16567196911198512,-0.12455567172591779,0.14214631757375104,-0.03463973526579701,-0.16734422092938075,0.16567196911198512,0.030704917577053608,0.06807133500225963,-0.009327928444097308,-0.04116554626474811,-0.052984325440748124,-0.13297448706987913,-0.30948348351598415,-0.06998625551940767,0.059884643575083885,0.12741683094346462,0.2112743816574096,-0.3044148647821142,-0.23597847292090066,-0.0631637561415861
